Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
0,44,0.05,0,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,16043,0,0,0,1,0,0,1,1,0,3.54,0.7,1.17,0.09,1,1,1,2.22
0,48,0.1,0,1,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,5.83,83568,0,1,0,1,0,0,1,1,0,3.1,0.22,2.34,0.23,1,1,0,1.68
0,41,0.05,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,3567,0,0,0,1,0,0,0,1,0,2.86,0.81,1.51,0.0,1,1,0,1.93
0,29,0.03,0,0,1,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,29.25,2713,0,0,1,0,0,0,1,1,0,1.92,1.29,1.25,0.18,0,1,1,1.62
0,43,0.05,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,1,28.38,60879,0,0,0,1,0,0,1,1,0,3.8,0.46,3.22,0.37,0,1,0,1.88
0,42,0.05,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42150,0,0,0,1,0,0,1,1,0,2.33,0.29,2.31,0.09,1,1,1,1.44
0,33,0.12,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,69352,0,0,0,1,1,0,1,1,0,0.95,0.35,1.86,0.23,1,1,0,1.24
0,35,0.06,0,1,0,0,96,0,0,0,0,0,0,0,1,0,0,2,0,0,22.55,37037,0,1,0,1,0,0,1,1,0,1.65,0.18,3.51,0.34,0,1,1,0.77
0,39,0.05,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,315,0,0,0,0,0,0,0,1,0,3.17,0.95,0.95,0.0,0,1,1,4.76
0,57,0.11,0,1,0,0,41,0,0,0,0,0,0,1,0,0,0,0,0,1,10.62,52191,0,0,0,1,1,0,1,1,0,4.45,0.49,1.75,0.16,1,1,1,2.03
0,48,0.1,0,1,0,0,78,0,1,0,0,0,0,1,0,0,0,0,1,1,19.1,71353,0,1,0,1,0,0,1,1,0,3.01,0.25,2.32,0.25,1,1,0,1.66
