Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
1,30,0.03,1,1,0,0,21,0,0,0,0,0,0,1,1,0,0,1,0,1,23.0,53732,0,0,0,1,0,0,1,1,0,2.34,0.53,2.97,0.28,1,1,1,1.1
1,34,0.35,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,167070,0,0,1,1,0,1,1,1,0,4.14,0.29,2.71,0.51,1,1,1,1.86
1,40,0.05,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,9095,0,0,0,1,1,0,1,1,0,2.02,0.81,1.25,0.23,1,1,1,1.95
1,32,0.03,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,205822,0,0,0,1,0,1,1,1,0,1.29,0.31,2.77,0.22,1,1,1,0.66
1,40,0.05,0,0,0,0,38,0,0,0,0,0,0,0,1,0,0,3,0,0,21.02,11761,0,0,0,1,1,0,1,1,0,1.89,0.65,1.11,0.2,1,1,1,2.02
1,32,0.03,0,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,13.23,197130,0,0,0,1,0,1,1,1,0,1.24,0.31,2.24,0.21,1,1,1,0.62
1,17,0.18,0,0,1,0,32,0,0,1,0,0,0,1,0,0,0,0,0,1,29.68,70027,0,0,1,1,0,0,1,1,0,4.24,0.36,1.31,0.38,1,1,0,1.49
1,35,0.03,0,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,15.27,27597,0,1,0,1,0,0,1,1,0,1.64,0.44,2.17,0.11,0,1,1,0.94
1,34,0.03,0,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,1,0,2.6,23763,0,0,0,1,0,0,1,1,0,1.12,0.38,2.1,0.41,1,1,0,0.64
1,34,0.35,1,0,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,15.35,130065,0,1,1,1,0,1,1,1,0,4.27,0.29,2.68,0.51,1,1,1,1.88
1,40,0.05,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,1,10.73,11336,0,0,0,1,1,0,1,1,0,2.08,0.61,1.47,0.26,1,1,1,2.12
1,30,0.03,1,1,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,1,0.9,51642,0,0,0,1,0,0,1,1,0,2.2,0.49,3.07,0.29,1,1,1,1.1
1,40,0.05,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,13.33,9738,0,0,0,1,1,0,1,1,0,1.73,0.83,1.2,0.17,1,1,1,1.54
1,26,0.08,0,0,1,0,49,0,1,1,0,0,0,0,0,0,0,0,0,0,24.53,30248,0,1,1,1,0,0,1,1,0,2.85,0.64,2.97,0.14,0,1,1,1.41
1,34,0.35,1,0,1,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0.77,76929,0,0,1,1,0,0,1,1,0,4.24,0.35,2.33,0.47,1,1,1,1.78
1,31,0.03,0,1,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,29.13,56456,0,1,0,1,0,0,1,1,0,3.66,0.44,2.31,0.4,1,1,1,1.87
1,40,0.05,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,3,0,0,15.68,12358,0,0,0,1,0,0,1,1,0,1.65,0.78,1.17,0.14,1,1,1,1.66
1,19,0.05,0,0,1,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,5.75,42850,0,0,1,1,0,0,1,1,0,1.67,0.23,3.8,0.14,0,0,1,0.75
1,32,0.03,0,1,0,0,52,0,0,0,0,0,0,0,1,0,0,1,0,0,10.27,144793,0,0,0,1,0,0,1,1,0,1.06,0.33,2.89,0.23,0,1,1,0.52
1,40,0.05,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,11239,0,0,0,1,1,0,1,1,0,1.73,0.68,1.1,0.2,1,1,1,1.71
1,30,0.03,1,1,0,0,56,0,0,0,0,0,0,0,1,0,0,1,0,0,0.78,59650,0,0,0,1,0,0,1,1,0,2.28,0.45,2.88,0.27,1,1,1,1.2
1,32,0.03,0,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,23.97,157520,0,0,0,1,0,0,1,1,0,1.15,0.31,2.54,0.23,0,1,1,0.58
1,40,0.05,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,11913,0,0,0,1,1,0,1,1,0,1.8,0.76,1.06,0.16,1,1,1,1.69
1,17,0.18,0,0,1,0,35,0,0,1,0,0,0,1,0,0,0,0,0,1,29.63,60551,0,0,1,1,0,0,1,1,0,4.16,0.36,1.34,0.4,1,1,0,1.49
1,29,0.03,1,1,0,0,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0.38,38546,0,0,0,1,0,0,1,1,0,2.02,0.55,2.9,0.25,1,1,1,0.89
1,40,0.05,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,7236,0,0,0,1,0,0,1,1,0,1.93,0.97,1.16,0.26,1,1,1,1.87
1,26,0.08,0,0,1,0,37,0,1,1,0,0,0,1,0,0,0,0,0,1,1.33,28167,0,1,1,1,0,0,1,1,0,2.71,0.67,3.06,0.17,0,1,1,1.24
1,34,0.35,1,0,1,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,15.28,79676,0,0,1,1,0,1,1,1,0,4.33,0.27,2.51,0.46,1,1,1,1.9
